Class,Precision,Recall,AP,F1,Accuracy
Ants,0.015261251939969916,0.6629213482773639,0.041156495303755695,0.029835650634578326,0.015143737166305
Bees,0.022757697456431705,0.7727272726570248,0.07357215994280508,0.04421326342316115,0.02260638297866328
Beetles,0.021604938271521587,0.5599999999440001,0.03633603460871054,0.04160475411347034,0.02124430955985871
Caterpillars,0.016129032257997812,0.28057553954816,0.09812934747756127,0.030504496429609857,0.015488482922893216
Earthworms,0.024193548386706554,0.20833333330439816,0.018280312615586193,0.04335259929040403,0.022156573116364008
Earwigs,0.04679144384995461,0.6730769230122042,0.08861359269342872,0.08749999878340627,0.04575163398662908
Grasshoppers,0.023170731707222884,0.5588235293569781,0.05008411474999816,0.04449648635453861,0.022754491017873236
Moths,0.07232704402458863,0.9108910890187237,0.3279843203949087,0.13401310861319304,0.071818891490462
Slugs,0.028037383177351737,0.39560439556092264,0.1042965807887698,0.052363635126839045,0.026885735623398913
Snails,0.03972602739707888,0.8130841120735436,0.08260495770945109,0.07575097864961756,0.03936651583692594
Wasps,0.07188703465935888,0.8484848484205693,0.29996806374267004,0.13254437725653864,0.07097591888421435
Weevils,0.07555178268187139,0.8476190475383221,0.16380299828501393,0.13873733286756673,0.07453936348346282
mAP,,,0.11540241485938828,,
Overall,0.029998247765891013,0.6383296047677978,0.11540241485938828,0.05730352036359232,0.02949689869054807
