Class,Precision,Recall,AP,F1,Accuracy
Ants,0.827606,0.632184,0.704208,0.716814,0.558621
Bees,0.941609,0.909091,0.926974,0.925064,0.860577
Beetles,0.608782,0.704545,0.718010,0.653172,0.484971
Caterpillars,0.757798,0.437402,0.549188,0.554656,0.383753
Earthworms,0.698389,0.375000,0.492051,0.487979,0.322733
Earwigs,0.788952,0.561644,0.632079,0.656170,0.488283
Grasshoppers,0.791313,0.563636,0.607065,0.658346,0.490697
Moths,0.935496,0.893617,0.967859,0.914077,0.841751
Slugs,0.748337,0.524845,0.584686,0.616976,0.446106
Snails,0.927843,0.860000,0.884831,0.892634,0.806088
Wasps,0.963562,0.936170,0.971061,0.949669,0.904161
Weevils,0.945475,1.000000,0.963335,0.971974,0.945475
Overall,0.827930,0.699845,0.750112,0.749794,0.627768
