Class,Precision,Recall,AP,F1,Accuracy
Ants,0.9999999999857474,0.011494252741281548,0.09090909090779521,0.011363630617094786,1.4235280719330265e-05
Bees,0.0,0.0,0.0,0.0,0.0
Beetles,0.0,0.0,0.0,0.0,0.0
Caterpillars,0.00010115314585260437,0.01075268805642271,1.4334451418283894e-05,0.00020040242008347283,0.00010022048505710357
Earthworms,4.0417104516998744e-05,0.024999999375000016,6.175050326240718e-06,8.070051376612602e-05,4.035349662885463e-05
Earwigs,0.9999999999720763,0.01369862994895132,0.0909090909065524,0.013513506665080364,2.787689562734724e-05
Grasshoppers,0.9999999999765962,0.01818181785081415,0.0909090909069633,0.017857133768726656,2.337759491194172e-05
Moths,0.00035599857598457346,0.12765957175192402,8.6952741176849e-05,0.0007100116123729293,0.0003551346552024188
Slugs,0.9999999999842631,0.019607842752478833,0.09090909090766029,0.01923075943018137,1.5725001178880354e-05
Snails,0.00017148246590315678,0.03999999920000002,2.1958717605587483e-05,0.0003414923955152218,0.00017077960890011273
Wasps,0.9999999999768786,0.02127659529149539,0.09090909090698897,0.020833322699186328,2.310429277653008e-05
Weevils,0.0,0.0,0.0,0.0,0.0
mAP,,,0.037889572958040595,,
Overall,8.953653650267619e-05,0.04644412184841201,,0.00017872467341731432,8.937224377371681e-05
