Class,AP@0.5,Precision,Recall,F1,AUC,Accuracy
Ants,0.011494252741281547,0.0,0.0,0.0,0.41421315920113033,0.0
Bees,0.0,0.0,0.0,0.0,0.5007575757575757,0.0
Beetles,0.0,0.0,0.0,0.0,0.4548978153629317,0.0
Caterpillars,1.695472730168281e-06,0.0,0.0,0.0,0.3714909432056001,0.0
Earthworms,1.6981387972627277e-06,0.021276595291987336,0.024999999375000016,0.022988008466276626,0.4285053929121726,0.011627906841535968
Earwigs,0.09589040964265926,0.11111110934744271,0.09589040964533686,0.10294067766243692,0.47866260451876885,0.05426356547082507
Grasshoppers,0.0727272714032566,0.15789472853185638,0.05454545355371903,0.0810806972260415,0.4700172067679954,0.04225352053164056
Moths,5.895121201605012e-05,0.0952380929705216,0.08510638116794934,0.08988714001033848,0.6362596937760986,0.047058822975778555
Slugs,0.039215685504957666,0.0,0.0,0.0,0.5045024279304199,0.0
Snails,9.188690866886764e-06,0.041666664930555625,0.01999999960000001,0.02702658802755663,0.5529264475743348,0.013698629949333838
Wasps,0.17021276233196314,0.1714285665306124,0.12765957175192402,0.14634097055487766,0.6345529263604428,0.07894736738227148
Weevils,0.0,0.0,0.0,0.0,0.6931389693425869,0.0
Average,0.03246765959487738,0.04988464646691467,0.034016817924494104,0.03918867349562732,0.5116604302258382,0.02065415109594879
