Class,AP@0.5,Precision,Recall,F1,AUC,Accuracy
Ants,0.08045976918890574,0.12903225390218534,0.04597701096578148,0.06779622163392475,0.45061480887463246,0.03508771899045861
Bees,0.045454544420968475,0.02173912996219283,0.022727272210743815,0.022221721986547285,0.46608527131782945,0.011235954929933092
Beetles,0.00832852092855477,0.06666666444444451,0.04545454442148763,0.05405357049370721,0.47771317829457366,0.027777777391975313
Caterpillars,9.410806626559456e-05,0.10526315235457093,0.02150537611284542,0.03571400335042887,0.3948545861297539,0.018181818016528926
Earthworms,0.0,0.0,0.0,0.0,0.3766949152542373,0.0
Earwigs,1.0627331216994963e-05,0.0,0.0,0.0,0.4476739014410247,0.0
Grasshoppers,2.0978239445354798e-05,0.07692307100591762,0.018181817851239675,0.029411454588015595,0.4878835675365643,0.0149253729115616
Moths,0.0006977928769143081,0.0,0.0,0.0,0.7121859879366342,0.0
Slugs,6.635479778731614e-06,0.0,0.0,0.0,0.5131999508267256,0.0
Snails,0.059999998798794,0.024999999375000016,0.01999999960000001,0.022221727912207997,0.510266040688576,0.011235954929933092
Wasps,0.0006903183152032078,0.15789472853185638,0.06382978587596201,0.09090867814693104,0.6676277589978127,0.04761904686318973
Weevils,0.00032081206036090406,0.027777777006172864,0.017241379013079674,0.021276122690442312,0.6729329471555823,0.01075268805642271
Average,0.016340342142200672,0.050858064715195044,0.021243098837594978,0.028633625066850424,0.5148110762044955,0.01473469434083359
