epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1360.34,1.55412,3.44168,1.96469,0.42401,0.44323,0.40215,0.19932,1.73388,2.88512,2.21363,0.000208188,0.000208188,0.000208188
2,973.804,1.5682,2.67842,1.95238,0.5079,0.48701,0.48708,0.24198,1.75449,2.35236,2.24372,0.000416115,0.000416115,0.000416115
3,3415.76,1.57545,2.43198,1.94847,0.54878,0.43964,0.46683,0.25048,1.74979,2.14,2.23493,0.000622416,0.000622416,0.000622416
4,4597.99,1.57038,2.28044,1.9286,0.52908,0.52516,0.51919,0.2663,1.73204,1.94456,2.22875,0.00061952,0.00061952,0.00061952
5,5881.22,1.54233,2.13577,1.90958,0.63472,0.54027,0.58032,0.31766,1.661,1.8043,2.14035,0.00061528,0.00061528,0.00061528
6,45036.5,1.50912,2.02743,1.87684,0.69149,0.53281,0.58362,0.30218,1.72405,1.74026,2.22705,0.000609858,0.000609858,0.000609858
7,802.499,1.48651,1.92982,1.85826,0.70411,0.58109,0.6345,0.354,1.6262,1.58601,2.1025,0.000603275,0.000603275,0.000603275
8,1846.7,1.46356,1.84305,1.83638,0.66673,0.60544,0.62567,0.35689,1.61084,1.54911,2.07967,0.000595556,0.000595556,0.000595556
9,3076.66,1.43972,1.77296,1.80685,0.66018,0.64003,0.6429,0.36593,1.59487,1.48236,2.06275,0.000586732,0.000586732,0.000586732
10,4510.92,1.4272,1.71023,1.80103,0.75913,0.60952,0.67752,0.38578,1.56945,1.47781,2.04405,0.000576839,0.000576839,0.000576839
11,6429.79,1.39906,1.64408,1.77801,0.73426,0.64424,0.67366,0.3822,1.57222,1.44173,2.06533,0.000565915,0.000565915,0.000565915
12,780.972,1.38419,1.60739,1.76356,0.75469,0.61936,0.67812,0.38084,1.59049,1.41344,2.05801,0.000554003,0.000554003,0.000554003
