epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1501.17,1.49546,2.86753,1.6603,0.68277,0.59135,0.61863,0.37436,1.5166,3.01037,1.79521,0.0667782,9.99652e-05,9.99652e-05
2,3559.36,1.37762,2.4225,1.57686,0.80031,0.64875,0.72087,0.43428,1.49894,1.78637,1.77253,0.0335427,0.000197802,0.000197802
3,1384.87,1.34198,2.14413,1.74762,0.79891,0.67086,0.72297,0.42535,1.54646,1.67555,1.98649,0.000298718,0.000287128,0.000287128
4,4515.19,1.27972,1.95976,1.53601,0.77684,0.54181,0.57512,0.35182,1.51411,1.55356,1.94081,0.000271639,0.000271639,0.000271639
5,1279.31,1.2518,1.81391,1.4744,0.82265,0.67138,0.73118,0.42125,1.59742,1.65714,2.02441,0.000250866,0.000250866,0.000250866
6,3419.84,1.24377,1.33652,1.62063,0.81181,0.6908,0.73746,0.4314,1.53984,1.57692,2.04007,0.00022575,0.00022575,0.00022575
7,1197.44,1.21459,1.25466,1.59906,0.82061,0.6969,0.74548,0.44068,1.51016,1.56525,1.82404,0.000197389,0.000197389,0.000197389
8,3058.42,1.18824,1.18495,1.55816,0.79712,0.68917,0.73518,0.44299,1.51403,1.53219,1.89013,0.000167022,0.000167022,0.000167022
9,5084.47,1.17484,1.15086,1.52488,0.78934,0.70233,0.74077,0.44255,1.51644,1.50887,1.89391,0.000135978,0.000135978,0.000135978
10,1317.98,1.06288,0.97654,1.44294,0.77388,0.70186,0.73139,0.43785,1.51693,1.5279,1.8306,0.000105611,0.000105611,0.000105611
11,3106,1.04208,0.93259,1.4153,0.81023,0.6858,0.73336,0.43151,1.5516,1.55195,1.94951,7.725e-05,7.725e-05,7.725e-05
12,5417.84,1.04226,0.92395,1.41845,0.79442,0.70509,0.7336,0.43453,1.54394,1.51738,1.88405,5.21341e-05,5.21341e-05,5.21341e-05
13,1170.6,0.94868,0.83583,1.35799,0.79628,0.68863,0.72636,0.42988,1.55595,1.55082,1.96808,3.1361e-05,3.1361e-05,3.1361e-05
14,3063.24,0.94546,0.8228,1.34403,0.80073,0.68689,0.72354,0.42792,1.55667,1.54613,1.99446,1.58385e-05,1.58385e-05,1.58385e-05
15,1156.05,0.8933,0.78468,1.3172,0.80961,0.69184,0.72897,0.42618,1.57069,1.55955,1.992,6.24508e-06,6.24508e-06,6.24508e-06
