epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,900.516,1.57311,3.57711,2.08394,0.41273,0.38465,0.32837,0.15396,1.75533,3.08471,2.33564,0.000208261,0.000208261,0.000208261
2,2098.54,1.59243,2.66527,2.05431,0.46221,0.48164,0.46715,0.24684,1.70446,2.29338,2.20297,0.000395973,0.000395973,0.000395973
3,3582.5,1.59121,2.38543,2.04282,0.53148,0.53905,0.52758,0.27389,1.72468,1.93975,2.21857,0.00056306,0.00056306,0.00056306
4,5303.48,1.56864,2.20731,2.02613,0.60468,0.52139,0.55539,0.30945,1.64043,1.88079,2.13055,0.000532187,0.000532187,0.000532187
5,7179.94,1.52947,2.02998,1.98668,0.63437,0.54108,0.59155,0.31937,1.66405,1.75586,2.13404,0.00050125,0.00050125,0.00050125
6,1015.6,1.48681,1.88481,1.96991,0.67371,0.56891,0.60706,0.34199,1.60489,1.67381,2.1159,0.000470312,0.000470312,0.000470312
7,2739.8,1.46153,1.7703,1.91998,0.70833,0.5975,0.63764,0.35782,1.58591,1.57866,2.08057,0.000439375,0.000439375,0.000439375
8,5560.3,1.42871,1.70651,1.88825,0.72097,0.59842,0.65102,0.36758,1.59641,1.44886,2.08648,0.000408438,0.000408438,0.000408438
9,1131.49,1.37256,1.53739,1.84636,0.72867,0.61764,0.66811,0.37854,1.58557,1.45404,2.10087,0.0003775,0.0003775,0.0003775
10,2662.47,1.33373,1.45415,1.80577,0.75289,0.61366,0.6756,0.38411,1.58271,1.39255,2.08871,0.000346563,0.000346563,0.000346563
11,4368.43,1.30691,1.40258,1.77633,0.77177,0.63257,0.69132,0.39831,1.58356,1.34019,2.08672,0.000315625,0.000315625,0.000315625
12,1126.08,1.24913,1.27005,1.73122,0.74992,0.65041,0.69344,0.40027,1.54112,1.33097,2.05085,0.000284688,0.000284688,0.000284688
13,2972.72,1.21605,1.21063,1.69604,0.757,0.64256,0.68465,0.39021,1.57841,1.32875,2.10627,0.00025375,0.00025375,0.00025375
14,5082.83,1.19138,1.17621,1.67175,0.77354,0.65865,0.70413,0.41439,1.55324,1.28139,2.06474,0.000222813,0.000222813,0.000222813
15,7210.46,1.30905,1.3024,1.78112,0.79151,0.67183,0.71972,0.41738,1.55114,1.24659,2.03667,0.000191875,0.000191875,0.000191875
16,886.294,1.25399,1.08908,1.77717,0.79129,0.64467,0.71204,0.41936,1.54652,1.26413,2.02186,0.000160938,0.000160938,0.000160938
17,2099.96,1.22945,1.03804,1.74408,0.72667,0.69061,0.71477,0.41852,1.54439,1.24668,2.01299,0.00013,0.00013,0.00013
18,3728.26,1.21064,0.98741,1.72368,0.75572,0.66899,0.70854,0.41794,1.53541,1.23235,2.0131,9.90625e-05,9.90625e-05,9.90625e-05
19,5587.01,1.1874,0.95115,1.71016,0.74423,0.66959,0.70935,0.41926,1.53306,1.23699,2.02405,6.8125e-05,6.8125e-05,6.8125e-05
20,7654.51,1.17377,0.92087,1.69668,0.76778,0.65957,0.709,0.41996,1.53574,1.21398,2.01903,3.71875e-05,3.71875e-05,3.71875e-05
